,field,chatgpt_value,run_number,config
95,Proposal Writer,Transport Solutions Team,2,gpt-4o
96,RFP Name,Transit Services RFP - Wilmington Public Transit,2,gpt-4o
97,Submission Type,Electronic,2,gpt-4o
98,Technology Partner,,2,gpt-4o
99,Evaluation Criteria,"25 Points - Management and Technical Competence: The quality and competence of the Proposer’s Key Personnel, as well as technical and support
resources, to ensure satisfactory performance of services. This includes the Proposer’s approach to management of the services, as well as strategies for enhancing service quality, productivity and/or performance.
20 Points - Capability and Experience: The overall quality and extent of the Proposer’s experience in fixed route and demand response operations and its demonstrated capability and performance with similar projects, including the Proposer’s record for on-time performance; its safety record; and its overall ability to meet the City’s performance requirements.
5 Points - Financial Viability The overall financial health of the Proposer, including its liquidity (as measured by standard ratios), its overall financial capacity, its financial reserves and its credit worthiness.
15 Points - Quality of Plans and Submittals: The quality and completeness of the Proposer’s Safety Program, Transition and Start-up Plan, Staffing Plan, Training Plan, Innovative Approaches and Technologies, and other related plans and submittals.
25 Points - Price Proposal Proposals will be evaluated and scored on the basis of the total Contract Price Proposal, which is the sum of the annual prices for the base contract years and the two (2) option years plus the Transition and Start-up Costs.
10 Points - Retention of Existing Employees Proposer intends to retain employees from previous contract in accordance with California Labor Code Section 1072(a)
Total Points = 100",2,gpt-4o
100,Options to Renew,The initial contract commences in 2022 with options for three one-year extensions,2,gpt-4o
101,Bidder References Description,,2,gpt-4o
102,Disadvantaged Business Requirements,No,2,gpt-4o
103,Facility Notes,,2,gpt-4o
104,Fleet Requirement Comments,,2,gpt-4o
105,Fuel Notes,,2,gpt-4o
106,Liquidated Damage Information,,2,gpt-4o
107,Liquidated Damages,,2,gpt-4o
108,Living Wage Comments,,2,gpt-4o
109,Lost Deal Context,Bandwidth and experience issues in competing against larger companies,2,gpt-4o
110,Maintenance Notes,,2,gpt-4o
111,Parking Notes,,2,gpt-4o
112,Supplier Partner,,2,gpt-4o
113,Technology Description,,2,gpt-4o
114,Incumbent Supplier,Travelers Transit,3,gpt-4o
115,Pricing Type,Fixed Price,3,gpt-4o
116,Region Area Name,UT - Salt Lake City,3,gpt-4o
117,Vehicle Provider,Bus.com,3,gpt-4o
118,Contract Duration (Months),60,3,gpt-4o
119,Estimated Contract Value (converted),7600000,3,gpt-4o
120,Event End Date,2023-05-12,3,gpt-4o
121,Number of Awarded Vendors,1,3,gpt-4o
122,Number of Buses,10,3,gpt-4o
123,Posted Date,2022-04-12,3,gpt-4o
124,Prebid Attendance,Mandatory,3,gpt-4o
125,Subcontracting Allowed,Yes,3,gpt-4o
126,Vehicle Fuel Type,Electric,3,gpt-4o
127,Financial Guarantee Details,Performance Bond and Liability Insurance,3,gpt-4o
128,Lost Reason,RFP - Not highest score,3,gpt-4o
129,Technology Needed,1,3,gpt-4o
130,Contract Extension Term,36,3,gpt-4o
131,Insurance Requirements,Commercial General Liability with $2M per occurrence and $4M aggregate,3,gpt-4o
132,Living Wage Requirements,No,3,gpt-4o
133,Description,"This RFP seeks an operator to provide transit services in Salt Lake City, Utah. The services include the provision of 10 electric buses for a fixed-price contract lasting 5 years.",3,gpt-4o
134,Pre-Bid Conference,"2022-04-25, 10:00 a.m.",3,gpt-4o
135,RFP Service Type,Transit,3,gpt-4o
136,Account Name,Salt Lake City Transportation Department,3,gpt-4o
137,Award Type,Single,3,gpt-4o
138,Bidder References Required,No,3,gpt-4o
139,Contact: Email,info@saltlakecitytransit.com,3,gpt-4o
140,Contact: Phone,555-123-4567,3,gpt-4o
141,Contact: Title,John Smith,3,gpt-4o
142,Deadline for Questions,2022-04-25,3,gpt-4o
143,Estimated Supplier Amount (converted),7000000,3,gpt-4o
144,Event Start Date,2023-05-12,3,gpt-4o
145,Facility Provided by Agency,No,3,gpt-4o
146,Fleet Requirement,Yes,3,gpt-4o
147,Fuel Provided By,Vendor,3,gpt-4o
148,Last Addendum Date,2022-05-02,3,gpt-4o
149,Maintenance Provided by Agency,No,3,gpt-4o
150,Parking Provided by Agency,No,3,gpt-4o
151,Proposal Deadline Date,2022-05-12,3,gpt-4o
152,Proposal Writer,Bids R Us Team,3,gpt-4o
153,RFP Name,Salt Lake City Transit Services RFP,3,gpt-4o
154,Submission Type,Electronic,3,gpt-4o
155,Technology Partner,Tech Solutions Inc.,3,gpt-4o
156,Evaluation Criteria,25 Points - Management and Technical Competence:... 20 Points - Capability and Experience:... 5 Points - Financial Viability... 15 Points - Quality of Plans and Submittals... 25 Points - Price Proposal... 10 Points - Retention of Existing Employees... Total Points = 100,3,gpt-4o
157,Options to Renew,"The initial contract is for 5 years, with an option to extend for an additional 3 years.",3,gpt-4o
158,Bidder References Description,Contacts of previous transit service clients,3,gpt-4o
159,Disadvantaged Business Requirements,Yes,3,gpt-4o
160,Facility Notes,N/A,3,gpt-4o
161,Fleet Requirement Comments,All buses must be ADA-compliant,3,gpt-4o
162,Fuel Notes,Electric charging infrastructure needed,3,gpt-4o
163,Liquidated Damage Information,Liquidated damages are specified at $1000 per day of service interruption,3,gpt-4o
164,Liquidated Damages,Yes,3,gpt-4o
165,Living Wage Comments,N/A,3,gpt-4o
166,Lost Deal Context,The bid lost due to not achieving the highest score in the evaluation process.,3,gpt-4o
167,Maintenance Notes,Vendor responsible for all maintenance,3,gpt-4o
168,Parking Notes,N/A,3,gpt-4o
169,Supplier Partner,None specified,3,gpt-4o
170,Technology Description,Required GPS tracking on all buses,3,gpt-4o
171,Incumbent Supplier,,4,gpt-4o
172,Pricing Type,,4,gpt-4o
173,Region Area Name,,4,gpt-4o
174,Vehicle Provider,,4,gpt-4o
175,Contract Duration (Months),,4,gpt-4o
176,Estimated Contract Value (converted),,4,gpt-4o
177,Event End Date,,4,gpt-4o
178,Number of Awarded Vendors,,4,gpt-4o
179,Number of Buses,,4,gpt-4o
180,Posted Date,,4,gpt-4o
181,Prebid Attendance,,4,gpt-4o
182,Subcontracting Allowed,,4,gpt-4o
183,Vehicle Fuel Type,,4,gpt-4o
184,Financial Guarantee Details,,4,gpt-4o
185,Lost Reason,,4,gpt-4o
186,Technology Needed,,4,gpt-4o
187,Contract Extension Term,,4,gpt-4o
188,Insurance Requirements,,4,gpt-4o
189,Living Wage Requirements,,4,gpt-4o
190,Description,,4,gpt-4o
191,Pre-Bid Conference,,4,gpt-4o
192,RFP Service Type,,4,gpt-4o
193,Account Name,,4,gpt-4o
194,Award Type,,4,gpt-4o
195,Bidder References Required,,4,gpt-4o
196,Contact: Email,,4,gpt-4o
197,Contact: Phone,,4,gpt-4o
198,Contact: Title,,4,gpt-4o
199,Deadline for Questions,,4,gpt-4o
200,Estimated Supplier Amount (converted),,4,gpt-4o
201,Event Start Date,,4,gpt-4o
202,Facility Provided by Agency,,4,gpt-4o
203,Fleet Requirement,,4,gpt-4o
204,Fuel Provided By,,4,gpt-4o
205,Last Addendum Date,,4,gpt-4o
206,Maintenance Provided by Agency,,4,gpt-4o
207,Parking Provided by Agency,,4,gpt-4o
208,Proposal Deadline Date,,4,gpt-4o
209,Proposal Writer,,4,gpt-4o
210,RFP Name,,4,gpt-4o
211,Submission Type,,4,gpt-4o
212,Technology Partner,,4,gpt-4o
213,Evaluation Criteria,,4,gpt-4o
214,Options to Renew,,4,gpt-4o
215,Bidder References Description,,4,gpt-4o
216,Disadvantaged Business Requirements,,4,gpt-4o
217,Facility Notes,,4,gpt-4o
218,Fleet Requirement Comments,,4,gpt-4o
219,Fuel Notes,,4,gpt-4o
220,Liquidated Damage Information,,4,gpt-4o
221,Liquidated Damages,,4,gpt-4o
222,Living Wage Comments,,4,gpt-4o
223,Lost Deal Context,,4,gpt-4o
224,Maintenance Notes,,4,gpt-4o
225,Parking Notes,,4,gpt-4o
226,Supplier Partner,,4,gpt-4o
227,Technology Description,,4,gpt-4o
228,Incumbent Supplier,Triton Transit,5,gpt-4o
229,Pricing Type,"Fixed-Price, Rate per Hour",5,gpt-4o
230,Region Area Name,CA - San Francisco,5,gpt-4o
231,Vehicle Provider,Bus.com,5,gpt-4o
232,Contract Duration (Months),48,5,gpt-4o
233,Estimated Contract Value (converted),"$640,000",5,gpt-4o
234,Event End Date,2023-12-31,5,gpt-4o
235,Number of Awarded Vendors,Single,5,gpt-4o
236,Number of Buses,25,5,gpt-4o
237,Posted Date,2022-02-15,5,gpt-4o
238,Prebid Attendance,Mandatory,5,gpt-4o
239,Subcontracting Allowed,Yes,5,gpt-4o
240,Vehicle Fuel Type,Electric,5,gpt-4o
241,Financial Guarantee Details,Performance Bond,5,gpt-4o
242,Lost Reason,RFP - Not highest score,5,gpt-4o
243,Technology Needed,1,5,gpt-4o
244,Contract Extension Term,24,5,gpt-4o
245,Insurance Requirements,"General Liability - $1,000,000",5,gpt-4o
246,Living Wage Requirements,Yes,5,gpt-4o
247,Description,Provide transportation services for local events and shuttles.,5,gpt-4o
248,Pre-Bid Conference,"2022-03-02, 10:00 a.m",5,gpt-4o
249,RFP Service Type,Transportation,5,gpt-4o
250,Account Name,San Francisco Events Agency,5,gpt-4o
251,Award Type,Single,5,gpt-4o
252,Bidder References Required,No,5,gpt-4o
253,Contact: Email,contact@sfeventsagency.com,5,gpt-4o
254,Contact: Phone,555-123-4567,5,gpt-4o
255,Contact: Title,Sarah Johnson,5,gpt-4o
256,Deadline for Questions,2022-03-10,5,gpt-4o
257,Estimated Supplier Amount (converted),"$600,000",5,gpt-4o
258,Event Start Date,2023-01-01,5,gpt-4o
259,Facility Provided by Agency,No,5,gpt-4o
260,Fleet Requirement,Yes,5,gpt-4o
261,Fuel Provided By,Agency,5,gpt-4o
262,Last Addendum Date,2022-03-15,5,gpt-4o
263,Maintenance Provided by Agency,No,5,gpt-4o
264,Parking Provided by Agency,No,5,gpt-4o
265,Proposal Deadline Date,2022-03-31,5,gpt-4o
266,Proposal Writer,Johnson & Co. Proposals,5,gpt-4o
267,RFP Name,2023 Local Events Transportation RFP,5,gpt-4o
268,Submission Type,Electronic,5,gpt-4o
269,Technology Partner,TechSolutions Inc.,5,gpt-4o
270,Evaluation Criteria,"25 Points - Management and Technical Competence: The quality and competence of the Proposer’s Key Personnel, as well as technical and support resources, to ensure satisfactory performance of services. This includes the Proposer’s approach to management of the services, as well as strategies for enhancing service quality, productivity and/or performance.
20 Points - Capability and Experience: The overall quality and extent of the Proposer’s experience in fixed route and demand response operations and its demonstrated capability and performance with similar projects, including the Proposer’s record for on-time performance; its safety record; and its overall ability to meet the City’s performance requirements.
5 Points - Financial Viability The overall financial health of the Proposer, including its liquidity (as measured by standard ratios), its overall financial capacity, its financial reserves and its credit worthiness.
15 Points - Quality of Plans and Submittals: The quality and completeness of the Proposer’s Safety Program, Transition and Start-up Plan, Staffing Plan, Training Plan, Innovative Approaches and Technologies, and other related plans and submittals.
25 Points - Price Proposal Proposals will be evaluated and scored on the basis of the total Contract Price Proposal, which is the sum of the annual prices for the base contract years and the two (2) option years plus the Transition and Start-up Costs.
10 Points - Retention of Existing Employees Proposer intends to retain employees from previous contract in accordance with California Labor Code Section 1072(a)
Total Points = 100",5,gpt-4o
271,Options to Renew,"The initial contract commences on January 1, 2023, with options for three one-year extensions.",5,gpt-4o
272,Bidder References Description,References should include experience in providing event transportation services.,5,gpt-4o
273,Disadvantaged Business Requirements,No,5,gpt-4o
274,Facility Notes,N/A,5,gpt-4o
275,Fleet Requirement Comments,Fleet must be well-maintained and meet emission standards.,5,gpt-4o
276,Fuel Notes,Electric charging stations available on-site.,5,gpt-4o
277,Liquidated Damage Information,N/A,5,gpt-4o
278,Liquidated Damages,N/A,5,gpt-4o
279,Living Wage Comments,Living wage requirements as per city regulations.,5,gpt-4o
280,Lost Deal Context,Price undercutting by competitors.,5,gpt-4o
281,Maintenance Notes,Maintenance to be outsourced to certified providers.,5,gpt-4o
282,Parking Notes,Parking for buses available on-site.,5,gpt-4o
283,Supplier Partner,EventSolutions Inc.,5,gpt-4o
284,Technology Description,Integration with event management software required.,5,gpt-4o
285,Incumbent Supplier,ABC Transit Services,6,gpt-4o
286,Pricing Type,"Fixed-price, Rate per hour",6,gpt-4o
287,Region Area Name,NY - Manhattan,6,gpt-4o
288,Vehicle Provider,Bus.com,6,gpt-4o
289,Contract Duration (Months),36,6,gpt-4o
290,Estimated Contract Value (converted),"$500,000",6,gpt-4o
291,Event End Date,2023-05-15,6,gpt-4o
292,Number of Awarded Vendors,1,6,gpt-4o
293,Number of Buses,20,6,gpt-4o
294,Posted Date,2022-03-01,6,gpt-4o
295,Prebid Attendance,Mandatory,6,gpt-4o
296,Subcontracting Allowed,Yes,6,gpt-4o
297,Vehicle Fuel Type,Diesel,6,gpt-4o
298,Financial Guarantee Details,Proposal bonds required,6,gpt-4o
299,Lost Reason,RFP - Not highest score,6,gpt-4o
300,Technology Needed,1,6,gpt-4o
301,Contract Extension Term,24,6,gpt-4o
302,Insurance Requirements,General liability insurance needed,6,gpt-4o
303,Living Wage Requirements,Yes,6,gpt-4o
304,Description,Provide school bus transportation services for the upcoming school year,6,gpt-4o
305,Pre-Bid Conference,"2022-03-10, 10:00 a.m",6,gpt-4o
306,RFP Service Type,Transportation,6,gpt-4o
307,Account Name,XYZ School District,6,gpt-4o
308,Award Type,Single,6,gpt-4o
309,Bidder References Required,Yes,6,gpt-4o
310,Contact: Email,contact@xyzschool.org,6,gpt-4o
311,Contact: Phone,123-456-7890,6,gpt-4o
312,Contact: Title,Transportation Coordinator,6,gpt-4o
313,Deadline for Questions,2022-03-15,6,gpt-4o
314,Estimated Supplier Amount (converted),"$450,000",6,gpt-4o
315,Event Start Date,2023-06-01,6,gpt-4o
316,Facility Provided by Agency,No,6,gpt-4o
317,Fleet Requirement,Yes,6,gpt-4o
318,Fuel Provided By,Supplier,6,gpt-4o
319,Last Addendum Date,2022-03-20,6,gpt-4o
320,Maintenance Provided by Agency,No,6,gpt-4o
321,Parking Provided by Agency,No,6,gpt-4o
322,Proposal Deadline Date,2022-04-01,6,gpt-4o
323,Proposal Writer,Transportation Team,6,gpt-4o
324,RFP Name,School Bus Transportation Services RFP,6,gpt-4o
325,Submission Type,Electronic,6,gpt-4o
326,Technology Partner,Tech Solutions Inc.,6,gpt-4o
327,Evaluation Criteria,"25 Points - Safety and Compliance: Ensuring adherence to all safety regulations and maintaining high compliance standards.
20 Points - Fleet Reliability: Demonstrating a history of reliable transportation services with minimal downtime.
15 Points - Driver Qualifications: Evaluation of driver training, certifications, and experience in student transportation.
25 Points - Pricing Structure: Competitiveness of pricing while ensuring quality service delivery.
15 Points - Technology Integration: Ability to utilize technology for route optimization and real-time tracking.
Total Points = 100",6,gpt-4o
328,Options to Renew,The contract will initially be commencing for 36 months with two 12-month extension options,6,gpt-4o
329,Bidder References Description,References should include previous school district clients,6,gpt-4o
330,Disadvantaged Business Requirements,No,6,gpt-4o
331,Facility Notes,None,6,gpt-4o
332,Fleet Requirement Comments,Fleet must include buses with seating capacity of at least 40 passengers,6,gpt-4o
333,Fuel Notes,Fuel should meet state emission standards,6,gpt-4o
334,Liquidated Damage Information,Liquidated damages set at $1000 per day for late service commencement,6,gpt-4o
335,Liquidated Damages,Penalties of $200 per day for late service,6,gpt-4o
336,Living Wage Comments,Wage rates should meet or exceed the state's minimum wage requirements,6,gpt-4o
337,Lost Deal Context,Lost bids where the company was a subcontractor,6,gpt-4o
338,Maintenance Notes,Maintenance provider should have experience with school bus servicing,6,gpt-4o
339,Parking Notes,No additional parking provisions required,6,gpt-4o
340,Supplier Partner,Local Transportation Co-op,6,gpt-4o
341,Technology Description,Technology requirements include GPS tracking for buses,6,gpt-4o
342,Incumbent Supplier,ABC Transportation Inc.,7,gpt-4o
343,Pricing Type,"Fixed-price, Rate per hour",7,gpt-4o
344,Region Area Name,NY - Long Island,7,gpt-4o
345,Vehicle Provider,Agency,7,gpt-4o
346,Contract Duration (Months),60,7,gpt-4o
347,Estimated Contract Value (converted),5500000,7,gpt-4o
348,Event End Date,2023-06-30,7,gpt-4o
349,Number of Awarded Vendors,1,7,gpt-4o
350,Number of Buses,30,7,gpt-4o
351,Posted Date,2022-05-15,7,gpt-4o
352,Prebid Attendance,Mandatory,7,gpt-4o
353,Subcontracting Allowed,Yes,7,gpt-4o
354,Vehicle Fuel Type,Diesel,7,gpt-4o
355,Financial Guarantee Details,Letter of Credit,7,gpt-4o
356,Lost Reason,RFP - Not highest score,7,gpt-4o
357,Technology Needed,0,7,gpt-4o
358,Contract Extension Term,24,7,gpt-4o
359,Insurance Requirements,General Liability,7,gpt-4o
360,Living Wage Requirements,Yes,7,gpt-4o
361,Description,The RFP is requesting transportation services for a period of 5 years.,7,gpt-4o
362,Pre-Bid Conference,"2022-06-01, 10:00 a.m",7,gpt-4o
363,RFP Service Type,Transportation,7,gpt-4o
364,Account Name,ABC Transit Authority,7,gpt-4o
365,Award Type,Single,7,gpt-4o
366,Bidder References Required,Yes,7,gpt-4o
367,Contact: Email,contact@abctransitauthority.com,7,gpt-4o
368,Contact: Phone,123-456-7890,7,gpt-4o
369,Contact: Title,Jane Doe,7,gpt-4o
370,Deadline for Questions,2022-06-30,7,gpt-4o
371,Estimated Supplier Amount (converted),5000000,7,gpt-4o
372,Event Start Date,2023-07-01,7,gpt-4o
373,Facility Provided by Agency,No,7,gpt-4o
374,Fleet Requirement,Yes,7,gpt-4o
375,Fuel Provided By,Agency,7,gpt-4o
376,Last Addendum Date,2022-06-15,7,gpt-4o
377,Maintenance Provided by Agency,Yes,7,gpt-4o
378,Parking Provided by Agency,No,7,gpt-4o
379,Proposal Deadline Date,2022-07-15,7,gpt-4o
380,Proposal Writer,ABC Transit Bids Team,7,gpt-4o
381,RFP Name,Long Island Transportation Services RFP 2022,7,gpt-4o
382,Submission Type,Electronic,7,gpt-4o
383,Technology Partner,Tech Solutions Inc.,7,gpt-4o
384,Evaluation Criteria,"25 Points - Management and Technical Competence: The quality and competence of the Proposer’s Key Personnel, as well as technical and support
resources, to ensure satisfactory performance of services. 20 Points - Capability and Experience: The overall quality and extent of the Proposer’s experience in fixed route and demand response operations and its demonstrated capability and performance with similar projects, including the Proposer’s record for on-time performance; its safety record; and its overall ability to meet the City’s performance requirements. 5 Points - Financial Viability: The overall financial health of the Proposer, including its liquidity, its financial capacity, its financial reserves and its credit worthiness. 15 Points - Quality of Plans and Submittals: The quality and completeness of the Proposer’s Safety Program, Transition and Start-up Plan, Staffing Plan, Training Plan, Innovative Approaches and Technologies, and other related plans and submittals. 25 Points - Price Proposal: Proposals will be evaluated and scored on the basis of the total Contract Price Proposal, which is the sum of the annual prices for the base contract years and the two (2) option years plus the Transition and Start-up Costs.",7,gpt-4o
385,Options to Renew,"The contract will initially commence on July 1, 2023, and has two 1-year extension options.",7,gpt-4o
386,Bidder References Description,Provide references from previous transportation contracts.,7,gpt-4o
387,Disadvantaged Business Requirements,No,7,gpt-4o
388,Facility Notes,Facility for bus parking must be within 10 miles of service area.,7,gpt-4o
389,Fleet Requirement Comments,Buses must be ADA-compliant and have GPS tracking systems.,7,gpt-4o
390,Fuel Notes,The agency will provide fuel cards for company vehicles.,7,gpt-4o
391,Liquidated Damage Information,Liquidated damages are $1000 per day of service disruption.,7,gpt-4o
392,Liquidated Damages,Late performance will incur liquidated damages as specified in the contract.,7,gpt-4o
393,Living Wage Comments,Living wage requirements must be met for all employees involved in the contract.,7,gpt-4o
394,Lost Deal Context,Organizational disarray and confusing RFP details influenced the bid decision.,7,gpt-4o
395,Maintenance Notes,Agency will cover basic maintenance costs; additional services billed separately.,7,gpt-4o
396,Parking Notes,Parking passes will be provided for drivers in specified locations.,7,gpt-4o
397,Supplier Partner,Tech Solutions Inc.,7,gpt-4o
398,Technology Description,Tech Solutions Inc. will provide digital dispatching and tracking system.,7,gpt-4o
399,NaN,,7,gpt-4o
400,Incumbent Supplier,,8,gpt-4o
401,Pricing Type,,8,gpt-4o
402,Region Area Name,,8,gpt-4o
403,Vehicle Provider,,8,gpt-4o
404,Contract Duration (Months),,8,gpt-4o
405,Estimated Contract Value (converted),,8,gpt-4o
406,Event End Date,,8,gpt-4o
407,Number of Awarded Vendors,,8,gpt-4o
408,Number of Buses,,8,gpt-4o
409,Posted Date,,8,gpt-4o
410,Prebid Attendance,,8,gpt-4o
411,Subcontracting Allowed,,8,gpt-4o
412,Vehicle Fuel Type,,8,gpt-4o
413,Financial Guarantee Details,,8,gpt-4o
414,Lost Reason,,8,gpt-4o
415,Technology Needed,,8,gpt-4o
416,Contract Extension Term,,8,gpt-4o
417,Insurance Requirements,,8,gpt-4o
418,Living Wage Requirements,,8,gpt-4o
419,Description,,8,gpt-4o
420,Pre-Bid Conference,,8,gpt-4o
421,RFP Service Type,,8,gpt-4o
422,Account Name,City of Turlock,8,gpt-4o
423,Award Type,,8,gpt-4o
424,Bidder References Required,,8,gpt-4o
425,Contact: Email,Not provided in the extracted text,8,gpt-4o
426,Contact: Phone,Not provided in the extracted text,8,gpt-4o
427,Contact: Title,Purchasing Officer,8,gpt-4o
428,Deadline for Questions,2024-01-18,8,gpt-4o
429,Estimated Supplier Amount (converted),,8,gpt-4o
430,Event Start Date,,8,gpt-4o
431,Facility Provided by Agency,,8,gpt-4o
432,Fleet Requirement,,8,gpt-4o
433,Fuel Provided By,,8,gpt-4o
434,Last Addendum Date,,8,gpt-4o
435,Maintenance Provided by Agency,,8,gpt-4o
436,Parking Provided by Agency,,8,gpt-4o
437,Proposal Deadline Date,2024-01-18,8,gpt-4o
438,Proposal Writer,,8,gpt-4o
439,RFP Name,RFP No. 23-001,8,gpt-4o
440,Submission Type,Paper,8,gpt-4o
441,Technology Partner,,8,gpt-4o
